disease,disease_id,donor,region_id,region,broad_score,stringent_score,weighted_score,n_broad_genes_observed,n_stringent_genes_observed,n_weighted_genes_observed
Parkinson disease,parkinson,10021,130,Thal VPL R,0.5115601073614758,0.515942136130833,0.5198724247275498,123,34,123
Parkinson disease,parkinson,10021,131,Thal IL L,0.5897115654541244,0.6242862499743712,0.5905929695247388,123,34,123
Parkinson disease,parkinson,10021,135,Thal MDm L,0.5191516691513299,0.5320549041632957,0.5183583269635421,123,34,123
Parkinson disease,parkinson,10021,136,Thal MDm R,0.5304572019383891,0.5470595052590449,0.5314768032661751,123,34,123
Parkinson disease,parkinson,10021,137,Thal MDl L,,,,0,0,0
Parkinson disease,parkinson,10021,139,Thal LGN L,0.5137771814282733,0.5213950570782169,0.5150162693824164,123,34,123
Parkinson disease,parkinson,10021,140,Thal LGN R,0.5317534602853634,0.5502898941314908,0.5348197294603891,123,34,123
Parkinson disease,parkinson,10021,141,Thal MGN L,,,,0,0,0
Parkinson disease,parkinson,10021,143,Thal PuI L,,,,0,0,0
Parkinson disease,parkinson,10021,144,Thal PuI R,0.5007350690685693,0.5312699974334886,0.5117035908219315,123,34,123
Parkinson disease,parkinson,10021,145,Thal PuM L,0.5273162744270651,0.5410086309930956,0.5357344068121679,123,34,123
